,id,photographer,nationality,description,persons,tot_persons,organizations,tot_organizations,places,tot_places
10,10,Abdolla Heidari,Iran,"He later also went on to work at Iran's Islamic Republic News Agency. His photos have already been printed in many local and foreign publications, including National Geographic magazine, Polka magazine, and Days Japan magazine. His work has won numerous awards, including UNICEF's Photo of the Year 2014 in Germany, the Days Japan International Photojournalism Awards in 2015, and honorable mention in 2014 for the International Photography Awards (IPA). His work has been exhibited at 4th LUMIX Festival for Young Photojournalism in 2014, Chobi Mela VIII in 2015, and the Delhi Photo Festival.",{'Chobi Mela VIII'},1,"{'National Geographic', 'the International Photography Awards', 'IPA', 'Islamic Republic News Agency', 'the Days Japan International Photojournalism Awards', 'UNICEF', 'Polka', 'the Delhi Photo Festival'}",8,"{'Japan', 'Iran', 'Germany'}",3
11,11,Abdullah Doma,Libya,"Abdullah Doma was born in 1982 in Libya. Like many Libyan photojournalists, his career reached new heights in the wake of the Libyan revolution. In February 2011, Doma founded both the February 17 Media Centre and the first Libyan newspaper to be founded during the revolution, as well as the English Libya Post several months later. He is now the Senior Executive Director of Libya Hurra TV’s media center as well as Benghazi’s AFP photographer.

	In addition to photography, Doma is also deeply committed to humanitarian efforts in his home country. He is the founder of the Al-Raya Human Rights Organization as well as a member of the National Relief Committee and the February 17 Organization for Social Welfare.","{'Abdullah Doma', 'Doma'}",2,"{'Benghazi’s', 'AFP', 'Libya Hurra TV’s', 'Libya Post', 'the National Relief Committee', 'Organization for Social Welfare', 'Media Centre'}",7,{'Libya'},1
12,12,Abdurrauf Ben Madi,Libya,"Abdurrauf Ben Madi was born in 1976 in Tripoli, Libya. He graduated from the Fine Arts and Information Colleges of the University of Tripoli in 1998 and is now employed by the Ministry of Culture & Civil Society. He is a member of the Libyan Photographic Society and has participated in photo excursions, competitions, and exhibitions both in Libya and abroad. His work has previously been published in local newspapers and magazines.",{'Abdurrauf Ben Madi'},1,"{'the Fine Arts and Information Colleges of', 'the University of Tripoli', 'the Libyan Photographic Society', 'the Ministry of Culture & Civil Society'}",4,"{'Tripoli', 'Libya'}",2
13,13,Abir Abdullah,Bangladesh,"Abir Abdullah was born in 1971 in Bagerhat, Southern Bangladesh. He obtained a master's degree in marketing from Dhaka University before taking up photography, in a course at the Bangladesh Photographic Institute and later a diploma in photojournalism from Pathshala South East Asian Media Academy. Abdullah was among the first students at Pathshala, and participated in a three-year seminar, which was supported by World Press Photo. He went on to become a tutor at the academy, and is now the vice principal. After working freelance, Abdullah was a staff photographer at Drik Picture Library, and is currently photographer for the European Press Agency in Bangladesh. His work has appeared in numerous publications worldwide, including The New York Times, Asia Week, Der Spiegel, The Los Angeles Times, The Guardian and the book New Stories, published by World Press Photo. Among his many achievements are winning the 2001 Phaidon 55 photography competition, and first prizes in South Asian Journalists' Association Photo Awards and the Asian Press Photo Contest. His work has been exhibited around the world, from Mexico and Germany to Iran, China and the USA, as well as in his home country Bangladesh.","{'Der Spiegel', 'Abdullah', 'Abir Abdullah'}",3,"{'Drik Picture Library', 'The Los Angeles Times', 'World Press Photo', 'the Bangladesh Photographic Institute', 'the Asian Press Photo Contest', 'Guardian', 'Dhaka University', 'The New York Times', 'the European Press Agency'}",9,"{'China', 'USA', 'Bagerhat', 'Iran', 'Mexico', 'Germany', 'Bangladesh', 'Pathshala', 'Asia Week'}",9
14,14,Achim Bussler,Germany,,set(),0,set(),0,set(),0
15,15,Adam Ferguson,Australia,Image credit: Kathy Ryan,{'Kathy Ryan'},1,set(),0,set(),0
16,16,Adam Nadel,USA,,set(),0,set(),0,set(),0
17,17,Adam Pretty,Australia,"Adam Pretty is a professional sports photographer from Sydney, Australia.

He began his career as a news photographer at The Sydney Morning Herald in 1997 and his desire to specialize in sport photography saw him move to Getty Images in 1998. 

Since joining the Getty Images team, Pretty has been based in Sydney, Los Angeles, Beijing, Tokyo and currently lives in Munich.

He has photographed nine Olympic Games and covered assignments around the globe for magazines including Time Magazine, Harpers Bazaar, Sports Illustrated, Life Magazine, Bild and Marie Claire.

He has been awarded a number of major international awards and was part of the World Press Photo Contests jury in 2010 and 2017.

In 2007 Pretty began shooting advertising projects alongside his sports work. Through both his advertising and sports photography, he aims to constantly challenge people’s perceptions with creativity and fresh ideas capturing familiar subjects in unique ways.

World Press Photo Involvement:
Award-winning photographer 2021 Photo Contest
Award-winning photographer 2012 Photo Contest
Award-winning photographer 2011 Photo Contest
Award-winning photographer 2006 Photo Contest
Award-winning photographer 2005 Photo Contest
Award-winning photographer 2004 Photo Contest
Award-winning photographer 2000 Photo Contest


Adam Pretty on Social Media:
Instagram: @adampretty Image credit: Axel Pretty","{'Bild', 'Adam Pretty', 'Marie Claire', 'Harpers Bazaar'}",4,"{'Social Media', 'Time Magazine', 'Photo Contest', 'Getty Images', 'Sports Illustrated, Life Magazine', 'Axel Pretty', 'the World Press Photo Contests'}",7,"{'Australia', 'Sydney', 'Beijing', 'Munich', 'Tokyo', 'Los Angeles'}",6
18,18,Adel Hana,Palestinian Territories,"Adel Hana studied computer science at The American University in Cairo, Egypt, before participating in five training programs held in Jerusalem and Gaza for journalists. He then worked as a news editor and reporter for several Palestinian publications in East Jerusalem. He has been a Gaza-based photographer for The Associated Press since 1993.",{'Adel Hana'},1,"{'The Associated Press', 'The American University'}",2,"{'Egypt', 'East Jerusalem', 'Gaza', 'Cairo', 'Jerusalem'}",5
19,19,Adnaan Wasey,Canada,"Adnaan Wasey is an Emmy Award-winning producer and writer with a history of championing the work of a diverse group of storytellers for mainstream and emerging platforms. He has produced media for some of the world's most admired film, news and information organizations, including PBS, The New York Times, and Snapchat, and he is a frequent speaker about the future of media, interactive media, and social media storytelling at venues such as SXSW, TVOT, The Tribeca Film Festival, and The New York Film Festival.

Adnaan is the executive producer of Launchpad at WGBH, a media incubator that supports diverse talent and produces fiction entertainment linked to complex issues, he's a member of the Producers Guild of America and a member of the board of trustees of The Flaherty. He is the recipient of the first Rita Allen Fellowship for Science Communication, in which he is analyzing how popular media engages diverse audiences. Image credit: Meredith Nierman","{'Rita Allen Fellowship for Science Communication', 'Adnaan', 'Adnaan Wasey', 'an Emmy Award'}",4,"{'The New York Film Festival', 'the Producers Guild of America', 'Launchpad', 'The Tribeca Film Festival', 'SXSW', 'Flaherty', 'The New York Times', 'WGBH', 'TVOT', 'PBS'}",10,set(),0
20,20,Adrees Latif,Pakistan/USA,"Adrees Latif is a Pakistani-American photojournalist with a career spanning over two decades, covering sports, entertainment, conflict, and natural disasters. He lived in Saudi Arabia as a young child, moving to Texas at the age of seven. Latif earned a BA in journalism from the University of Houston, while simultaneously working as a staff photographer at The Houston Post. In 1995, he joined Reuters and has since been based in Houston, Los Angeles, Bangkok, and Islamabad for the agency. His accolades include an International Center of Photography’s 2011 Infinity Award, POYi 2011 Photographer of the Year (Agency), and the 2008 Pulitzer Prize for Breaking News Photography. Latif currently is based in New York, as editor-in-charge, US pictures, for Thomson Reuters.",{'Adrees Latif'},1,"{'an International Center of Photography’s', 'Reuters', 'Agency', 'Thomson Reuters', 'the University of Houston', 'BA', 'The Houston Post'}",7,"{'Islamabad', 'Bangkok', 'Texas', 'Saudi Arabia', 'Houston', 'US', 'Latif', 'Los Angeles', 'New York'}",9
21,21,Adriaan Monshouwer,the Netherlands,"Monshouwer graduated in graphic design at the Academy of the Visual Arts in Rotterdam in 1975. As co-founder of a film production company, he initially pursued a career in filmmaking, eventually filming and editing over a dozen documentaries for national television. He got involved in photography in 1982 as the visual editor of the Dutch weekly magazine Nieuwe Revu, responsible for photography and design. Four years later, Monshouwer was appointed director of the internationally renowned Canon Photo Gallery in Amsterdam. In 1992, he resigned to become the founding director of the National Institute for Photography in Rotterdam. He takes great pride and joy in the years that he was involved with World Press Photo, as a board member and from 1992 until 2004 as the secretary of the international jury. In 2006, he changed his focus to the business side of photography and became commercial director at Hollandse Hoogte, the leading independent photo agency in the Netherlands. Monshouwer went independent in 2009 and started Pictureinside, a consultancy for visual communication. Two years later he co-founded SocialPeople, a full-service social media agency. Monshouwer is now a partner at iBMP, which provides business innovation for photographers, and the co-founder of OnePhotoWorld Foundation, an initiative to empower majority world photographers. In addition, he also writes about the business side of photography on fotografenondernemen.nl.","{'Nieuwe Revu', 'Rotterdam', 'Hollandse Hoogte'}",3,"{'iBMP', 'World Press Photo', 'the National Institute for Photography', 'OnePhotoWorld Foundation', 'Canon Photo Gallery', 'the Academy of the Visual Arts', 'SocialPeople'}",7,"{'Rotterdam', 'Amsterdam', 'Netherlands'}",3
22,22,Adriana Zehbrauskas,Brazil,Photo credit: Adriana Zehbrauskas by  © Dario Lopez-Mills,"{'© Dario Lopez-Mills', 'Adriana Zehbrauskas'}",2,set(),0,set(),0
23,23,Adriane Ohanesian,USA,"Upon the completion of her degree, she moved to Sudan and has been photographing mainly in Africa ever since. Adriane has continued to document the civil war in South Sudan, fighting in Somalia, clashes in Burundi, and, most recently, the conflict in Darfur, Sudan. Adriane’s ongoing focus has been on the impact that conflict has on isolated civilian populations. She strives to cover all aspects of conflict, often exploring the isolation and desperation of people who have no other choice but to endure the reality of life within a war zone. Adriane is based out of Nairobi, Kenya. In 2015, Adriane was selected as one of Getty Images Emerging Photographers. In 2016, she won a World Press Photo award for her work in Darfur, and the Anja Niedringhaus Courage in Photojournalism Award. In 2017, Adriane was recognized as one of PDN’s 30 New and Emerging photographers. Adriane was selected to take part in the Joop Swart Masterclass 2017 in Amsterdam.     ",{'Adriane'},1,"{'Getty Images Emerging Photographers', 'PDN', 'the Anja Niedringhaus Courage in Photojournalism Award'}",3,"{'Darfur', 'Kenya', 'Burundi', 'Nairobi', 'Somalia', 'Amsterdam', 'Sudan', 'South Sudan'}",8
24,24,Afrim Hajrullahu,none,,set(),0,set(),0,set(),0
25,25,Agnes Dherbeys,France,,set(),0,set(),0,set(),0
26,26,Ahmed Hayman,Egypt,"Born in 1987, Ahmed Hayman graduated in 2008 from Misr University for Science & Technology Mass Communication College, where he specialized in broadcasting. He became interested in photography in 2005 when he started experimenting with a camera. Soon afterward, Ahmed started his career as a photographer working for Akhbar El Hawades, a weekly newspaper that specializes in crime and natural disasters. After graduating, he joined the daily newspaper Al-Masry Al-Youm. Ahmed is a member and co-founder of the project “Colorful Future,“ which finances projects for the poor by offering photography workshops. His photographs were included in the exhibitions “Reporting a Revolution… Continued” (Copenhagen and Berlin, 2012) and “Young Men” (Copenhagen and Cairo, 2010-11). His awards include First Prize, Photo Story, Egypt Press Photo Awards 2011, and Gold, Domestic Picture Story, College Photographer of the Year 2011.","{'Photo Story', 'Ahmed', 'Ahmed Hayman'}",3,"{'Egypt Press Photo Awards 2011', 'First Prize', 'Al-Masry Al-Youm', 'Misr University for Science & Technology Mass Communication College'}",4,"{'Berlin', 'El Hawades', 'Cairo'}",3
27,27,Ahmed Jadallah,Palestinian Territories,,set(),0,set(),0,set(),0
28,28,Ahmed Najm,Iraq,"Ahmed Najm is an editor and the managing director of Metrography Agency, the first and only photo agency in Iraq.

Ahmed Najm was born in Kirkuk, Iraq. Growing up during the civil war era, in the first seven years of his life, Najm and his family fled to Iran twice following their displacement in Iraq.

Ahmed Najm supervises a group of photojournalists, including 73 photographers in various Iraqi communities and religions, to record uncovered stories. He is a photo storyteller and safety trainer, and has been training independent photojournalists in Iraq, Iran and Turkey during the fight against ISIS.

He has also been training 15 women photojournalists, encouraging them to tell the stories that remain inaccessible to male photographers due to cultural and traditional boundaries. He was assistant managing director at Metrography from 2011 to 2014 and is the organizer of the annual photo festival of Metrography which takes place in five cities in Iraq.

Ahmed Najm was a jury member of the 2019 World Press Photo Contest. 


Ahmed Najm on Social Media:
Instagram: @ahmed.najm1
Twitter: @Ahmed_Najm2 Portrait credit: Sartep Othman","{'Sartep Othman', 'Ahmed Najm'}",2,"{'Social Media', '@ahmed.najm1', 'ISIS', 'Metrography Agency'}",4,"{'Kirkuk', 'Iran', 'Turkey', 'Iraq'}",4
29,29,Ai Mabuchi,Japan,,set(),0,set(),0,set(),0
30,30,Aïda Muluneh,none,"Aida Muluneh is the founder and director of the Addis Foto Fest, and a widely-exhibited visual artist. Previously a photojournalist at the Washington Post, Muluneh’s work can be found in several international publications.

Also as an exhibiting artist, a collection of her images can be found in the permanent collection at the Smithsonian’s National Museum of African Art Hood Museum and the Museum of Biblical Art in the United States.

She is the 2007 recipient of the European Union Prize in the Rencontres Africaines de la Photographie, in Bamako, Mali, as well as the 2010 winner of the CRAF International Award of Photography in Spilimbergo, Italy. 

Muluneh is the founder and director of the Addis Foto Fest (AFF), the first international photography
festival in East Africa hosted since 2010 in the city of Addis Ababa. She continues to educate,
curate and develop cultural projects with local and international institutions through her company
DESTA (Developing and Educating Society Through Art) For Africa Creative Consulting PLC
(DFA) in Addis Ababa, Ethiopia.","{'Muluneh', 'Aida Muluneh'}",2,"{'the CRAF International Award of Photography', 'AFF', 'Muluneh’s', 'DFA', 'the Museum of Biblical Art', 'DESTA', 'the Addis Foto Fest', 'Developing and Educating Society Through Art', 'Africa Creative Consulting PLC', 'the Washington Post', 'the European Union Prize'}",11,"{'Spilimbergo', 'East Africa', 'Ethiopia', 'Addis Ababa', 'the United States', 'Bamako', 'Italy', 'Mali'}",8
31,31,Aidan Sullivan,UK,"Aidan Sullivan started his career as a staff photographer for a local newspaper in the UK at the age of 18 and then freelanced as a news photographer in Fleet Street, covering events and conflicts around the globe. He later joined The Sunday Times in London as deputy picture editor, soon becoming the picture editor and subsequently joining the Sunday Times Magazine as assistant editor responsible for photography. In 2005, Sullivan joined Getty Images and relocated to New York. He created Reportage by Getty Images in 2009, representing some of the leading international photojournalists and documentary photographers in 2009. Sullivan is currently based in London. Sullivan is the director and founder of The Ian Parry Scholarship, created following the death of the photographer Ian Parry during the Romanian Revolution, while on assignment for The Sunday Times. The scholarship has helped many of the finest young photographers currently working in the profession and is widely recognized as one of the most important awards available for aspiring photojournalists. In 2004, he produced the book Eyes Wide Open, a collection of work from 12 winners of the award. Sullivan has been a master for the Joop Swart Masterclass and has also sat on the international judging panel for the Visa d'Or. His own accolades include an International Picture Editor of the Year award at Visa pour l'Image. Sullivan was previously a member of the 2011 World Press Photo contest jury.","{'Aidan Sullivan', 'Sullivan', 'Ian Parry'}",3,"{'the Sunday Times Magazine', 'Visa', 'The Sunday Times', 'Getty Images', 'The Ian Parry Scholarship', 'the 2011 World Press Photo', 'International Picture'}",7,"{'New York', 'UK', 'London'}",3
32,32,Aijaz Rahi,India,,set(),0,set(),0,set(),0
33,33,Aitor Garmendia,Spain,"Aitor Garmendia is a photographer focused on documenting the lives of exploited and liberated non-human animals. 

Through reports and graphic investigations that portray both animal exploitation and animal rights activism, his work offers information for the analysis of speciesism and its consequences. 

Garmendia’s work has been awarded by Pictures of The Year International Science and Natural History Picture Story in 2018, 2019 and 2020, Tokyo International Foto Awards (TIFA) in 2018 and First Place, Editorial and Photo Essay and the Latin International Photography Award, Photographer of the Year in 2018 for his series ‘Slaughterhouse’ - the result of an investigation into 58 slaughterhouses in Mexico.

He is one of the contributors to HIDDEN: Animals in the Anthropocene, We Animal Media’s book of photography documenting our relationship with non-human animals in the 21st century.

World Press Photo Involvement:
Award-winning photographer 2021 Photo Contest

Aitor Garmendia on Social Media:
Instagram: @traslosmuros",{'Garmendia'},1,"{'Tokyo International Foto Awards', 'Social Media', 'Photo Essay', '@traslosmuros', 'the Latin International Photography Award', 'First Place'}",6,{'Mexico'},1
34,34,Akili-Casundria Ramsess,United States,"Akili-Casundria Ramsess is the executive director of National Press Photographers Association (NPPA), the United States' largest member organization of visual journalists. 

Akili-Casundria Ramsess is an executive leader dedicated to the continuous organizational community growth and advocacy of visual journalists in the face of a rapidly evolving industry.  Prior to becoming executive director, Akili spent many years as newsroom leader, from director of photography, editor, multimedia producer and photographer, working for organizations such as the Los Angeles Times, Associated Press, The Atlanta Journal-Constitution, The Mercury News and the Orlando Sentinel. During that period Akili-Casundria Ramsess won numerous picture editing and multimedia awards with the Society for News Design (SND), Pictures of the Year International (POYi) and National Press Photographers Association’s (NPPA) Best of Photography competitions.

Concurrent to her professional work in newsrooms, Akili-Casundria Ramsess volunteered many years with the National Association of Black Journalists, from chair of the Visual Task Force, leading in program development and fundraising and later, over a decade as lead advisor for photojournalism students for the Multimedia Student Project.

Akili-Casundria Ramsess has a Bachelor of Arts degree in journalism from California State University, Long Beach. She is on the advisory board and former chair of National Association of Black Journalists (NABJ) Visual Task Force and on the advisory board of the Eddie Adams Workshop.


Akili-Casundria Ramsess on Social Media:
Twitter: @EyeAkili",set(),0,"{'Social Media', 'California State University', 'SND', 'the Orlando Sentinel', 'National Association of Black Journalists', 'the Los Angeles Times', 'Akili-Casundria Ramsess', 'the National Association of Black Journalists', 'National Press Photographers Association’s', 'NABJ', 'Associated Press', 'the Society for News Design', 'the Eddie Adams Workshop', 'the Visual Task Force', 'National Press Photographers Association (NPPA', 'the Year International', 'The Atlanta Journal-Constitution', 'the Multimedia Student Project'}",18,"{'Long Beach', ""the United States'""}",2
35,35,Akinbode Akinbiyi,Nigeria,"Akinbode Akinbiyi was born in Oxford, England, to Nigerian parents. He has been a photographer since the early seventies, focusing in particular on large urban centers, especially on the African continent.  He has covered all aspects of megacities, from the banal everyday occurrences to the increasing profusion of high-rises. He combines his wanderings with master classes, workshops and writing. His most recent exhibition, ""Adama in Wonderland"", features photography from Johannesburg.","{'Akinbode Akinbiyi', 'Adama'}",2,set(),0,"{'Wonderland', 'Johannesburg', 'England', 'Oxford'}",4
36,36,Akintunde Akinleye,Nigeria,,set(),0,set(),0,set(),0
37,37,Akos Stiller,Hungary,"Akos Stiller was born in Budapest, Hungary. In 2007 he started to work as a professional photographer for the Hungarian weekly HVG, and currently works on assignment for National Geographic, The New York Times, The Washington Post, and for Bloomberg. Over the years, Akos has won 14 awards in the Hungarian Pictures of the Year, including the best photojournalist under 30, and for the best portfolio. Akos is currently working on documenting the daily life on Hungarian steppe, the Puszta.",{'Akos Stiller'},1,"{'National Geographic', 'HVG', 'Akos', 'the Hungarian Pictures of the Year', 'The Washington Post', 'The New York Times', 'Bloomberg', 'Puszta'}",8,"{'Hungary', 'Budapest'}",2
38,38,Akram Adem,Libya,"Working under the name Elsadawie, Akram Adem discovered his passion for travel and photography later in life. Born in Libya in 1980, he graduated from university with a degree in IT engineering. Photography began for him as a hobby, until the 2011 revolution in Libya inspired Adem to begin documenting the changes taking place in his country. It was then that he began selling his work through multilingual citizen journalism wire feed Demotix, becoming a member of the Demotix Photojournalism Agency in 2011. Along with documenting his travels and adventures, he now takes special assignments from The Sunday Telegraph, working with high-profile British journalists like Andrew Gilligan and Nick Meo. His goal is to continue learning and to unlock his third eye through his lens, ultimately letting his pictures speak for themselves.","{'Akram Adem', 'Andrew Gilligan', 'Nick Meo'}",3,"{'Adem', 'Elsadawie', 'the Demotix Photojournalism Agency'}",3,"{'Libya', 'Demotix'}",2
