,serie,brodcaster,imdbID,rottenscore
242,The Underclass,no_data,tt12665438,no_data
243,Last Tango in Halifax,BBC One,tt2216156,no_data
244,Anitta: Made In Honório,Netflix,tt13486136,no_data
245,Detention,PTS Channel,tt13175760,no_data
246,Before 30,Africa Magic,no_data,no_data
247,A Queen Is Born,no_data,tt12571792,no_data
248,The Devil Punisher,no_data,tt13317376,no_data
249,Call the Midwife,BBC One,tt1983079,no_data
250,Julie and the Phantoms,Netflix,tt10183988,no_data
251,Goedam,no_data,tt12929796,no_data
252,The Twelve,Eén,tt7605396,no_data
253,Supernatural,The WB,tt0460681,no_data
254,Supergirl,The CW,tt4016454,no_data
255,Trailer Park Boys: The Animated Series,Netflix,tt9814900,no_data
256,The Eddy,Netflix,tt7322210,no_data
257,Almost Happy,Netflix,tt12146940,no_data
258,The Victims' Game,Netflix,tt12079212,no_data
259,The Trial,Canale 5,tt10549212,no_data
260,Kingdom,ITV,tt0841961,no_data
261,Velvet,Antena 3,tt2955402,no_data
262,Sleepless Society: Insomnia,no_data,tt11822994,no_data
263,Arrow,The CW,tt2193021,no_data
264,The Ghost Bride,no_data,tt9690302,no_data
265,Jamtara - Sabka Number Ayega,Netflix,tt11150912,no_data
266,You,Netflix,tt7335184,no_data
267,The Chosen One,Netflix,tt9048368,no_data
268,Nowhere Man,UPN,tt0112104,no_data
269,Cheese in the Trap,tvN,tt4741110,no_data
270,Gotham,Fox Broadcasting Company,tt3749900,no_data
271,Criminal: Spain,no_data,tt10986050,no_data
272,Sacred Games,Netflix,tt6077448,no_data
273,Til Death Do Us Part,no_data,tt10732758,no_data
274,The Family,American Broadcasting Company,tt4428038,no_data
275,Reply 1994,tvN,tt3357586,no_data
276,Reply 1997,tvN,tt2782216,no_data
277,Bolívar,Netflix,tt9327242,no_data
278,Crime Diaries: Night Out,no_data,tt10242266,no_data
279,Hjørdis,TV 2 Danmark,tt4057466,no_data
280,Watership Down,CITV,tt0211882,no_data
281,Pine Gap,ABC,tt7371868,no_data
282,Age of Rebellion,TVBS Entertainment Channel,tt8931836,no_data
283,Take My Brother Away,no_data,tt8894324,no_data
284,Mr. Sunshine,American Broadcasting Company,tt1583638,no_data
285,Bobby Kennedy for President,no_data,tt8200004,no_data
286,James Acaster: Repertoire,no_data,tt7818686,no_data
287,Godzilla,TV Tokyo,tt0177814,no_data
288,Myths & Monsters,no_data,tt7531644,no_data
289,Degrassi: Next Class,Family Channel,tt5320160,no_data
290,Man to Man,JTBC,tt6032762,no_data
291,Hoff the Record,no_data,tt4095622,no_data
292,Merlin,TF1,tt2024052,no_data
293,Hemlock Grove,Netflix,tt2309295,no_data
294,Bitter Daisies,Netflix,tt9412454,no_data
295,Father Brown,ITV,tt0069582,no_data
296,Frozen Planet,BBC One,tt2092588,no_data
297,Jack Taylor,Virgin Media One,tt6954652,no_data
298,Jonathan Strange & Mr Norrell,BBC,tt2548418,no_data
299,La Viuda Negra,Caracol Televisión,tt3275706,no_data
300,Lego Friends: Girls on a Mission,no_data,tt9327146,no_data
301,London Spy,BBC Two,tt4108134,no_data
302,Mars,Chinese Television System,no_data,no_data
303,Royal Pains,USA Network,tt1319735,no_data
304,The Fear,Channel 4,tt2316238,no_data
305,The Five,Fox News,tt1981471,no_data
306,Toast of London,Channel 4,tt2432604,no_data
307,The Great British Baking Show,BBC One,tt1877368,no_data
308,The Smart Money Woman,Netflix,no_data,no_data
309,King of Boys: The Return of the King,Netflix,no_data,no_data
310,Valeria,Univision,tt1483311,no_data
311,I Need Romance,tvN,tt3340752,no_data
312,Navarasa,no_data,no_data,no_data
313,Office Girls,Taiwan Television,tt4381290,no_data
314,The Flash,The CW,tt3107288,no_data
315,The Mire,Showmax,tt8855592,no_data
316,Masameer County,Netflix,tt14936146,no_data
317,Ray,no_data,no_data,no_data
318,Riverdale,CBC Television,tt0125643,no_data
319,The Rational Life,no_data,tt14376958,no_data
320,Let's Eat,tvN,tt3385484,no_data
321,The American Bible Challenge,Game Show Network,tt2246424,no_data
322,Feel Good,Channel 4,tt10098620,no_data
323,Word of Honor,no_data,tt12458172,no_data
324,The Mystic River,no_data,no_data,no_data
325,The Innocent,Netflix,tt10147644,no_data
326,Let's Fight Ghost,Netflix,no_data,no_data
327,The Underclass,no_data,tt12665438,no_data
328,Last Tango in Halifax,BBC One,tt2216156,no_data
329,Anitta: Made In Honório,Netflix,tt13486136,no_data
330,Detention,Netflix,tt13175760,no_data
331,Before 30,Africa Magic,no_data,no_data
332,A Queen Is Born,no_data,tt12571792,no_data
333,The Devil Punisher,no_data,tt13317376,no_data
334,Call the Midwife,BBC One,tt1983079,no_data
335,Julie and the Phantoms,Rede Bandeirantes,tt2090152,no_data
336,Goedam,no_data,tt12929796,no_data
337,The Twelve,Eén,tt7605396,no_data
338,Supernatural,The WB,tt0460681,no_data
339,Supergirl,The CW,tt4016454,no_data
340,Trailer Park Boys: The Animated Series,Netflix,tt9814900,no_data
341,The Eddy,Netflix,tt7322210,no_data
342,Almost Happy,Netflix,tt12146940,no_data
343,The Victims' Game,Netflix,tt12079212,no_data
344,The Trial,Canale 5,tt10549212,no_data
345,Kingdom,Audience Network,tt3673794,no_data
346,Velvet,Antena 3,tt2955402,no_data
347,Sleepless Society: Insomnia,no_data,tt11822994,no_data
348,Arrow,The CW,tt2193021,no_data
349,The Ghost Bride,no_data,tt9690302,no_data
350,Jamtara - Sabka Number Ayega,Netflix,tt11150912,no_data
351,You,Netflix,tt7335184,no_data
352,The Chosen One,Netflix,tt9048368,no_data
353,Nowhere Man,UPN,tt0112104,no_data
354,Cheese in the Trap,tvN,tt4741110,no_data
355,Gotham,Fox Broadcasting Company,tt3749900,no_data
356,Criminal: Spain,no_data,tt10986050,no_data
357,Sacred Games,Netflix,tt6077448,no_data
358,Til Death Do Us Part,no_data,tt10732758,no_data
359,The Family,BBC One,tt0426684,no_data
360,Reply 1994,tvN,tt3357586,no_data
361,Reply 1997,tvN,tt2782216,no_data
362,Bolívar,Netflix,tt9327242,no_data
363,Crime Diaries: Night Out,no_data,tt10242266,no_data
364,Hjørdis,TV 2 Danmark,tt4057466,no_data
365,Watership Down,CITV,tt0211882,no_data
366,Pine Gap,ABC,tt7371868,no_data
367,Age of Rebellion,TVBS Entertainment Channel,tt8931836,no_data
368,Take My Brother Away,no_data,tt8894324,no_data
369,Mr. Sunshine,American Broadcasting Company,tt1583638,no_data
370,Bobby Kennedy for President,no_data,tt8200004,no_data
371,James Acaster: Repertoire,no_data,tt7818686,no_data
372,Godzilla,TV Tokyo,tt0177814,no_data
373,Myths & Monsters,no_data,tt7531644,no_data
374,Degrassi: Next Class,Family Channel,tt5320160,no_data
375,Man to Man,JTBC,tt6032762,no_data
376,Hoff the Record,no_data,tt4095622,no_data
377,Merlin,BBC One,tt1199099,no_data
378,Hemlock Grove,Netflix,tt2309295,no_data
379,Bitter Daisies,Netflix,tt9412454,no_data
380,Father Brown,ITV,tt0069582,no_data
381,Frozen Planet,BBC One,tt2092588,no_data
382,Jack Taylor,Virgin Media One,tt6954652,no_data
383,Jonathan Strange & Mr Norrell,BBC,tt2548418,no_data
384,La Viuda Negra,Caracol Televisión,tt3275706,no_data
385,Lego Friends: Girls on a Mission,no_data,tt9327146,no_data
386,London Spy,BBC Two,tt4108134,no_data
387,Mars,Chinese Television System,no_data,no_data
388,Royal Pains,USA Network,tt1319735,no_data
389,The Fear,Channel 4,tt2316238,no_data
390,The Five,Fox News,tt1981471,no_data
391,Toast of London,Channel 4,tt2432604,no_data
392,Supernatural,The WB,tt0460681,no_data
393,Supergirl,The CW,tt4016454,no_data
394,Trailer Park Boys: The Animated Series,Netflix,tt9814900,no_data
395,The Eddy,Netflix,tt7322210,no_data
396,Almost Happy,Netflix,tt12146940,no_data
397,The Victims' Game,Netflix,tt12079212,no_data
398,The Trial,Canale 5,tt10549212,no_data
399,Kingdom,Audience Network,tt3673794,no_data
400,Velvet,Antena 3,tt2955402,no_data
401,Sleepless Society: Insomnia,no_data,tt11822994,no_data
402,Arrow,The CW,tt2193021,no_data
403,The Ghost Bride,no_data,tt9690302,no_data
404,Jamtara - Sabka Number Ayega,Netflix,tt11150912,no_data
405,You,Netflix,tt7335184,no_data
406,The Chosen One,Netflix,tt9048368,no_data
407,Nowhere Man,UPN,tt0112104,no_data
408,Cheese in the Trap,tvN,tt4741110,no_data
409,Gotham,Fox Broadcasting Company,tt3749900,no_data
410,Criminal: Spain,no_data,tt10986050,no_data
411,Sacred Games,Netflix,tt6077448,no_data
412,Til Death Do Us Part,no_data,tt10732758,no_data
413,The Family,American Broadcasting Company,tt4428038,no_data
414,Reply 1994,tvN,tt3357586,no_data
415,Reply 1997,tvN,tt2782216,no_data
416,Bolívar,Netflix,tt9327242,no_data
417,Crime Diaries: Night Out,no_data,tt10242266,no_data
418,Hjørdis,TV 2 Danmark,tt4057466,no_data
419,Watership Down,CITV,tt0211882,no_data
420,Pine Gap,ABC,tt7371868,no_data
421,Age of Rebellion,TVBS Entertainment Channel,tt8931836,no_data
422,Take My Brother Away,no_data,tt8894324,no_data
423,Mr. Sunshine,American Broadcasting Company,tt1583638,no_data
424,Bobby Kennedy for President,no_data,tt8200004,no_data
425,James Acaster: Repertoire,no_data,tt7818686,no_data
426,Godzilla,TV Tokyo,tt0177814,no_data
427,Myths & Monsters,no_data,tt7531644,no_data
428,Degrassi: Next Class,Family Channel,tt5320160,no_data
429,Man to Man,JTBC,tt6032762,no_data
430,Hoff the Record,no_data,tt4095622,no_data
431,Merlin,TF1,tt2024052,no_data
432,Hemlock Grove,Netflix,tt2309295,no_data
433,Bitter Daisies,Netflix,tt9412454,no_data
434,Father Brown,ITV,tt0069582,no_data
435,Frozen Planet,BBC One,tt2092588,no_data
436,Jack Taylor,Virgin Media One,tt6954652,no_data
437,Jonathan Strange & Mr Norrell,BBC,tt2548418,no_data
438,La Viuda Negra,Caracol Televisión,tt3275706,no_data
439,Lego Friends: Girls on a Mission,no_data,tt9327146,no_data
440,London Spy,BBC Two,tt4108134,no_data
441,Mars,Chinese Television System,no_data,no_data
442,Royal Pains,USA Network,tt1319735,no_data
443,The Fear,Channel 4,tt2316238,no_data
444,The Five,Fox News,tt1981471,no_data
445,Toast of London,Channel 4,tt2432604,no_data
