title,photographer,shoot day,Publication agency/magazine,award,description,Shutter Speed,Focal length,F-Stop,ISO,Camera,contest_year,prize,genere,series,persons,organizations,tot_persons,tot_organizations,places,tot_places
"Kho, the Genesis of a Revolt",Romain Laurendeau,"14 April, 2018",,"2020 Photo Contest, World Press Photo Story of the Year Nominee, Stories","14 April, 2018
                                                    
                                A view over Algiers, Algeria.
                            
                                                    
                                Young people make up more than half of Algeria’s population, and according to a UNESCO report 72% of people under 30 in Algeria are unemployed. Pivotal moments in Algerian history, such as the ‘Black October’ revolt of 1988, have had angry youth at their core. Black October was harshly suppressed—more than 500 people were killed in five days—and was followed by a ‘black decade’ of violence and unrest. Thirty years on, the effects of that decade are still present. In a traumatized country, high unemployment leads to boredom and frustration in everyday life and many young people feel disconnected from the state and its institutions. Football, for many young men, becomes both an identity and a means of escape, with quasi-political groups of fans known as ‘Ultras’ playing a large and sometimes violent role in protests. In neglected working-class neighborhoods such as Bab el-Oued in Algiers, young people often seek refuge in diki—private places that are ‘bubbles of freedom’ away from the gaze of society and from conservative social values. But the sense of community and solidarity is often not enough to erase the trials of poor living conditions. In February 2019, thousands of young people from working-class neighborhoods again took to the streets in what became a nationwide challenge to the reign of long-time president Abdelaziz Bouteflika.

Kho (the word means ‘brother’ in colloquial North-African Arabic) is about the genesis of a revolt. It is the story of the deep unease of youth, who, by daring to challenge authority, inspired the rest of the population to join their action, giving birth to the largest protest movement in Algeria in decades.","Shutter Speed
                                            1/125",,,"ISO
                                            200","Camera
                                            Fujifilm X100F",2020 Photo Contest, World Press Photo Story of the Year Nominee,, Stories,"{'Abdelaziz Bouteflika', 'Kho'}","{'UNESCO', 'the ‘Black October’'}",2.0,2.0,"{'Bab el-Oued', 'Algiers', 'Algeria'}",3.0
Ethiopian Airlines Flight 302 Crash Site,Mulugeta Ayene,"11 March, 2019",Associated Press,"2020 Photo Contest, World Press Photo Story of the Year Nominee","11 March, 2019
                                                    
                                Rescue workers search through debris at the crash site of Ethiopian Airlines Flight ET302, near Addis Ababa, Ethiopia, the day after the plane crashed.
                            
                                                    
                                On 10 March, Ethiopian Airlines Flight ET302, a Boeing 737 MAX, disappeared from the radar six minutes after take-off from Addis Ababa airport and crashed into a field, killing all 157 people on board. The impact was so great that both engines were buried in a crater 10 meters deep.  A week after the crash, empty coffins were buried at a ceremony at the Holy Trinity Cathedral in Addis Ababa, as victims were unable to be identified. Officials gave relatives bags of earth from the crash site. On 14 November, eight months after the crash, the site of the impact was covered and the unidentified remains of victims buried in rows of identical coffins. Comparisons were made with the crash of a Lion Air aircraft, also a 737 MAX, 12 minutes after take-off from Jakarta in October 2018. Countries across the world, initially with the exception of the US, grounded the 737 MAX. First reports showed that pilots had been unable to prevent the plane repeatedly nosediving, despite following procedures recommended by Boeing. It appeared that in both cases pilots were struggling to deal with an automated safety system designed to prevent stalling, which was repeatedly pushing the nose of the plane down. It seemed that the system was being activated, possibly due to a faulty sensor, even though nothing was wrong. It later emerged that American Airlines pilots had confronted Boeing about potential safety issues with the MAX. Boeing had resisted their calls but promised a software fix, which had not been done by the time Flight ET302 crashed. Planes remained grounded into 2020.","Shutter Speed
                                            1/1",,,"ISO
                                            500","Camera
                                            Canon EOS 5D Mark III",2020 Photo Contest, World Press Photo Story of the Year Nominee,,,set(),"{'Ethiopian Airlines Flight ET302', 'the Holy Trinity Cathedral', 'Lion Air', 'American Airlines', 'MAX', 'Boeing'}",0.0,6.0,"{'Addis Ababa', 'Jakarta', 'US', 'Ethiopia'}",4.0
Hong Kong Unrest,Nicolas Asfouri,"11 September, 2019",Agence France-Presse,"2020 Photo Contest, World Press Photo Story of the Year Nominee","11 September, 2019
                                                    
                                A man holds a poster in Shatin, Hong Kong, as people gather to sing ‘Glory to Hong Kong’, a protest song which gained popularity in the city as an unofficial anthem.
                            
                                                    
                                Protests began in Hong Kong at the end of March in response to government proposals to amend existing legislation and allow extradition to mainland China. Anti-government demonstrations gathered momentum over the following weeks as pro-democracy groups united, with students playing a large role in protests and in human-chain rallies. On 12 June, tens of thousands of demonstrators gathered around the Legislative Council building ahead of a debate on the extradition laws, and met with violent opposition from police. Protests continued to escalate, both in frequency and size, as did police countermeasures. The authorities banned the wearing of face masks, and at a demonstration on 1 October, the day marking the 70th anniversary of the declaration of the People’s Republic of China, police fired live ammunition at protesters for the first time. After initially proposing postponements and amendments to legislation, Chief Executive of Hong Kong Carrie Lam eventually announced that she would withdraw the bill. This was done on 23 October, but protesters’ demands had broadened to include implementation of genuine universal suffrage and release of arrested protestors, and unrest continued into 2020.","Shutter Speed
                                            1/400","Focal length
                                            27mm","F-Stop
                                            2.8","ISO
                                            2000","Camera
                                            NIKON D5",2020 Photo Contest, World Press Photo Story of the Year Nominee,,,{'Carrie Lam'},"{'Legislative Council', 'the People’s Republic of China', 'Shatin'}",1.0,3.0,"{'Hong Kong', 'China'}",2.0
"Kho, the Genesis of a Revolt",Romain Laurendeau,"14 April, 2018",,"2020 Photo Contest, World Press Photo Story of the Year","14 April, 2018
                                                    
                                A view over Algiers, Algeria.
                            
                                                    
                                Young people make up more than half of Algeria’s population, and according to a UNESCO report 72% of people under 30 in Algeria are unemployed. Pivotal moments in Algerian history, such as the ‘Black October’ revolt of 1988, have had angry youth at their core. Black October was harshly suppressed—more than 500 people were killed in five days—and was followed by a ‘black decade’ of violence and unrest. Thirty years on, the effects of that decade are still present. In a traumatized country, high unemployment leads to boredom and frustration in everyday life and many young people feel disconnected from the state and its institutions. Football, for many young men, becomes both an identity and a means of escape, with quasi-political groups of fans known as ‘Ultras’ playing a large and sometimes violent role in protests. In neglected working-class neighborhoods such as Bab el-Oued in Algiers, young people often seek refuge in diki—private places that are ‘bubbles of freedom’ away from the gaze of society and from conservative social values. But the sense of community and solidarity is often not enough to erase the trials of poor living conditions. In February 2019, thousands of young people from working-class neighborhoods again took to the streets in what became a nationwide challenge to the reign of long-time president Abdelaziz Bouteflika.

Kho (the word means ‘brother’ in colloquial North-African Arabic) is about the genesis of a revolt. It is the story of the deep unease of youth, who, by daring to challenge authority, inspired the rest of the population to join their action, giving birth to the largest protest movement in Algeria in decades.","Shutter Speed
                                            1/125",,,"ISO
                                            200","Camera
                                            Fujifilm X100F",2020 Photo Contest, World Press Photo Story of the Year,,,"{'Abdelaziz Bouteflika', 'Kho'}","{'UNESCO', 'the ‘Black October’'}",2.0,2.0,"{'Bab el-Oued', 'Algiers', 'Algeria'}",3.0
Straight Voice,Yasuyoshi Chiba,"19 June, 2019",Agence France-Presse,"2020 Photo Contest, World Press Photo of the Year Nominee, Singles, Nominee","19 June, 2019
                                                    
                                A young man, illuminated by mobile phones, recites protest poetry while demonstrators chant slogans calling for civilian rule, during a blackout in Khartoum, Sudan.

                            
                                                    
                                Protests in Sudan began in December 2018 and spread rapidly throughout the country. By April 2019, protesters were staging a sit-in close to army headquarters in the capital Khartoum, and demanding an end to the 30-year rule of dictator Omar al-Bashir. On 11 April, al-Bashir was removed from office in a military coup, and a transitional military government was established. Protests continued, calling for power to be handed to civilian groups. On 3 June, government forces opened fire on unarmed protesters. Scores of people were killed and many more subject to further violence. Three days later the African Union suspended Sudan, in the midst of widespread international condemnation of the attack. The authorities sought to defuse protests by imposing blackouts, and shutting down the internet. Protesters communicated by text message, word of mouth and using megaphones, and resistance to military rule continued. Despite another severe crackdown on 30 June, the pro-democracy movement was eventually successful in signing a power-sharing agreement with the military, on 17 August.","Shutter Speed
                                            1/160",,,"ISO
                                            1000","Camera
                                            Fujifilm X-H1",2020 Photo Contest, World Press Photo of the Year Nominee,, Singles,"{'al-Bashir', 'Omar al-Bashir'}",{'the African Union'},2.0,1.0,"{'Sudan', 'Khartoum'}",2.0
Nothing Personal - the Back Office of War,Nikita Teryoshin,"18 February, 2019",,"2020 Photo Contest, World Press Photo of the Year Nominee","18 February, 2019
                                                    
                                A businessman locks away a pair of anti-tank grenade launchers at the end of an exhibition day, at the International Defence Exhibition and Conference (IDEX) in Abu Dhabi, United Arab Emirates.

                            
                                                    
                                IDEX is the biggest defense exhibition and conference in the Middle East, and one of the biggest arms trade-fairs in the world. No official attendance figures are released, but according to UAE state media, the event was expected to draw 1,200 global defense specialists, 1,235 exhibitors and more than 105,000 visitors. Attendees include defense ministers, military chiefs of staff and key government decision-makers, who interact in conference halls, social events and back-office meetings. War is staged in an artificial environment where mannequins and screen images take the place of real people, and with outdoor demonstrations and daily choreographed battle displays on water.","Shutter Speed
                                            1/160",,,"ISO
                                            100","Camera
                                            Nikon D 810",2020 Photo Contest, World Press Photo of the Year Nominee,,,set(),set(),0.0,0.0,"{'Abu Dhabi', 'United Arab Emirates'}",2.0
Injured Kurdish Fighter Receives Hospital Visit,Ivor Prickett,"20 October, 2019",for The New York Times,"2020 Photo Contest, World Press Photo of the Year Nominee","20 October, 2019
                                                    
                                Ahmed Ibrahim (18), an SDF fighter badly burned in conflict with Turkish forces, is visited by his girlfriend at a hospital in Al-Hasakah, on 20 October. She had at first been unable to enter the room, as she was horrified by his injuries, but a nurse encouraged her to go in to hold Ahmed’s hand and have a short conversation.




 
                            
                                                    
                                By early 2019, the territory held by the Islamic State group (IS) in Syria had reduced to a four-square-kilometer patch in the southeast, centered on the village of Baghuz. The IS retreat from northern Syria took place under the onslaught of the combined militias of the Syrian Democratic Forces (SDF), led by the Kurdish People’s Protection Units (YPG) and supported by an international coalition of primarily US troops. As IS drew back, tens of thousands of people emerged from the enclave, many of them the wives and children of foreign IS fighters. Numerous IS fighters themselves surrendered or were captured. The Kurds were left with the conundrum of what to do with so many prisoners, many of them under 18 and orphaned or separated from their families. Then, at the beginning of October, US president Donald Trump ordered US troops out of northern Syria. On 9 October, Turkey—which regarded Kurdish forces on its border as a security threat, given the decades-long Kurdish insurgency against Turkey—invaded northern Syria, aiming to end Kurdish control over the territory. As Kurdish forces refocused their attention on a new opponent, the fate of the many thousands of prisoners grew even more uncertain.","Shutter Speed
                                            1/125",,,"ISO
                                            1600","Camera
                                            Canon EOS 5D Mark IV",2020 Photo Contest, World Press Photo of the Year Nominee,,,"{'Ahmed Ibrahim', 'Donald Trump'}","{'SDF', 'Islamic State', 'Ahmed', 'the Syrian Democratic Forces', 'YPG', 'the Kurdish People’s Protection Units'}",2.0,6.0,"{'Turkey', 'Baghuz', 'Syria', 'US', 'Al-Hasakah'}",5.0
Awakening,Tomek Kaczor,"01 June, 2019","for Duży Format, Gazeta Wyborcza","2020 Photo Contest, World Press Photo of the Year Nominee","01 June, 2019
                                                    
                                Ewa, a 15-year-old Armenian girl who has recently woken from catatonic state brought on by  Resignation Syndrome, sits in a wheelchair, flanked by her parents, in a refugee reception center in Podkowa Leśna, Poland.

                            
                                                    
                                Resignation Syndrome (RS) renders patients passive, immobile, mute, unable to eat and drink, incontinent and unresponsive to physical stimulus. It affects psychologically traumatized children in the midst of lengthy asylum processes, and seems most common in Roma and Yazidi children as well as those from the Balkans. It was first noted in the late 1990s, and was thought to be confined to Sweden, though cases have since been reported in the offshore refugee detention center run by the Australian government in Nauru. Remission and gradual return to normal function occurs after life circumstances improve. Ewa succumbed to RS while her family were trying for asylum in Sweden and threatened with deportation to Poland, which had been their country of first arrival as refugees. They feared being sent back to Armenia. The family was deported to Poland, despite Ewa’s illness, but she recovered eight months after they arrived.","Shutter Speed
                                            1/400",,,"ISO
                                            1600","Camera
                                            Canon EOS 5D Mark III",2020 Photo Contest, World Press Photo of the Year Nominee,,,{'Ewa'},set(),1.0,0.0,"{'Poland', 'Sweden', 'Roma', 'Armenia', 'Leśna', 'Yazidi', 'Nauru'}",7.0
Clash with the Police During an Anti-Government Demonstration,Farouk Batiche,"21 May, 2019",Deutsche Presse-Agentur,"2020 Photo Contest, World Press Photo of the Year Nominee","21 May, 2019
                                                    
                                Students scuffle with riot police during an anti-government demonstration in Algiers, Algeria.

                            
                                                    
                                Algeria had been embroiled in protests since February. Initially, protests had been aimed at ousting long-time president, Abdelaziz Bouteflika, an 81-year-old veteran of Algeria’s independence struggle who had been in ill-health and not seen in public for some time. Bouteflika resigned in April, handing over to a military-backed caretaker government, but demonstrations continued. Protesters demanded the cancellation of the presidential elections set to take place on 4 July and a return to civilian democracy. They also called for the departure of government officials associated with the Bouteflika administration, including the interim president and prime minister. Protests continued into 2020 without successful resolution.","Shutter Speed
                                            1/1000","Focal length
                                            24mm","F-Stop
                                            3.2","ISO
                                            200","Camera
                                            Canon EOS-1DX",2020 Photo Contest, World Press Photo of the Year Nominee,,,"{'Abdelaziz Bouteflika', 'Bouteflika'}",set(),2.0,0.0,"{'Algiers', 'Algeria'}",2.0
Relative Mourns Flight ET 302 Crash Victim,Mulugeta Ayene,"14 March, 2019",Associated Press,"2020 Photo Contest, World Press Photo of the Year Nominee","14 March, 2019
                                                    
                                A relative of a victim of the Ethiopian Airlines Flight ET302 plane crash throws dirt in her face as she grieves at the crash site, near Addis Ababa, Ethiopia.

                            
                                                    
                                On 10 March, Ethiopian Airlines Flight ET302, a Boeing 737 MAX, disappeared from the radar six minutes after take-off from Addis Ababa airport and crashed into a field, killing all 157 people on board. The impact was so great that both engines were buried in a crater 10 meters deep.  A week after the crash, empty coffins were buried at a ceremony at the Holy Trinity Cathedral in Addis Ababa, as victims were unable to be identified. Officials gave relatives bags of earth from the crash site. On 14 November, eight months after the crash, the site of the impact was covered and the unidentified remains of victims buried in rows of identical coffins. Comparisons were made with the crash of a Lion Air aircraft, also a 737 MAX, 12 minutes after take-off from Jakarta in October 2018. Countries across the world, initially with the exception of the US, grounded the 737 MAX. First reports showed that pilots had been unable to prevent the plane repeatedly nosediving, despite following procedures recommended by Boeing. It appeared that in both cases pilots were struggling to deal with an automated safety system designed to prevent stalling, which was repeatedly pushing the nose of the plane down. It seemed that the system was being activated, possibly due to a faulty sensor, even though nothing was wrong. It later emerged that American Airlines pilots had confronted Boeing about potential safety issues with the MAX. Boeing had resisted their calls but promised a software fix, which had not been done by the time Flight ET302 crashed. Planes remained grounded into 2020.","Shutter Speed
                                            1/1600",,,"ISO
                                            500","Camera
                                            Canon EOS 5D Mark III",2020 Photo Contest, World Press Photo of the Year Nominee,,,set(),"{'Ethiopian Airlines Flight ET302', 'the Holy Trinity Cathedral', 'Lion Air', 'American Airlines', 'MAX', 'Boeing'}",0.0,6.0,"{'Addis Ababa', 'Jakarta', 'US', 'Ethiopia'}",4.0
Straight Voice,Yasuyoshi Chiba,"19 June, 2019",Agence France-Presse,"2020 Photo Contest, World Press Photo of the Year","19 June, 2019
                                                    
                                A young man, illuminated by mobile phones, recites protest poetry while demonstrators chant slogans calling for civilian rule, during a blackout in Khartoum, Sudan.
                            
                                                    
                                Protests in Sudan began in December 2018 and spread rapidly throughout the country. By April 2019, protesters were staging a sit-in close to army headquarters in the capital Khartoum, and demanding an end to the 30-year rule of dictator Omar al-Bashir. On 11 April, al-Bashir was removed from office in a military coup, and a transitional military government was established. Protests continued, calling for power to be handed to civilian groups. On 3 June, government forces opened fire on unarmed protesters. Scores of people were killed and many more subject to further violence. Three days later the African Union suspended Sudan, in the midst of widespread international condemnation of the attack. The authorities sought to defuse protests by imposing blackouts, and shutting down the internet. Protesters communicated by text message, word of mouth and using megaphones, and resistance to military rule continued. Despite another severe crackdown on 30 June, the pro-democracy movement was eventually successful in signing a power-sharing agreement with the military, on 17 August.","Shutter Speed
                                            1/160",,,"ISO
                                            1000","Camera
                                            Fujifilm X-H1",2020 Photo Contest, World Press Photo of the Year,,,"{'al-Bashir', 'Omar al-Bashir'}",{'the African Union'},2.0,1.0,"{'Sudan', 'Khartoum'}",2.0
Deadly Bomb Blast in Cairo,Oliver Weiken,"05 August, 2019",Deutsche Presse-Agentur,"2020 Photo Contest, Spot News, Stories, 3rd Prize","05 August, 2019
                                                    
                                Firefighters extinguish a blaze after a car bomb attack in Cairo, Egypt.
                            
                                                    
                                At least 20 people were killed and 47 injured in a terrorist attack outside a cancer hospital in the Kasr al-Aini area of central Cairo, Egypt, on 5 August. Egypt’s Ministry of Interior said a car carrying a bomb drove into oncoming traffic and collided with three others, triggering the explosion and a fire that forced the evacuation of nearby buildings, including the hospital. Interior Minister Mahmoud Tawfik said that the car had been packed with explosives intended for use in terrorist attacks elsewhere. The Egyptian government put blame for the attack on the Islamist Hasm Movement, a violent breakaway faction of the Muslim Brotherhood, which was once the country’s largest Islamist group, but has been banned in Egypt since 2013. The Muslim Brotherhood itself has repeatedly distanced itself from the Hasm Movement and its violence. The Hasm Movement has carried out a string of attacks in Cairo in the past, but mostly against security forces and not civilians.","Shutter Speed
                                            1/100","Focal length
                                            24mm","F-Stop
                                            1.4","ISO
                                            3200","Camera
                                            Canon EOS 5D Mark IV",2020 Photo Contest, 3rd Prize, Spot News, Stories,"{'Kasr al-Aini', 'Mahmoud Tawfik'}","{'the Muslim Brotherhood', 'The Muslim Brotherhood', 'Ministry of Interior', 'The Hasm Movement', 'the Islamist Hasm Movement', 'the Hasm Movement', 'Interior', 'Egypt’s'}",2.0,8.0,"{'Egypt', 'Cairo'}",2.0
Australia’s Bushfire Crisis,Matthew Abbott,"31 December, 2019","Panos Pictures, for The New York Times","2020 Photo Contest, Spot News, Stories, 2nd Prize","31 December, 2019
                                                    
                                A kangaroo tries to escape a wildfire, near a burning house in Lake Conjola, New South Wales, Australia.
                            
                                                    
                                The annual fire season in Australia began early and was exceptionally severe—following months of record-breaking drought and fanned by strong winds. Far stronger wildfires than usual, mostly battled by volunteer firefighters, raged through New South Wales and Victoria as well as areas in South Australia and Queensland, laying waste to bushland and rainforest and destroying homes. By the end of January 2020, more than 30 people had been killed, 3,000 homes lost, and around 12.6 million hectares of land burned (nearly three times the size of the Netherlands). Wildlife was harshly hit. Local scientists estimated that up to one billion animals perished, and more than 50% of the Gondwana rainforest traversing New South Wales and Queensland was burned. In December, while the intensity and speed at which many bushfires were spreading increased, Australian prime minister Scott Morrison went on holiday to Hawaii, and was prompted to return only after the death of two volunteer firefighters. He continued to champion a pro-fossil-fuel policy and held back from linking the fires to the climate crisis.","Shutter Speed
                                            1/320",,,"ISO
                                            800","Camera
                                            NIKON D5",2020 Photo Contest, 2nd Prize, Spot News, Stories,"{'Gondwana', 'Scott Morrison'}",set(),2.0,0.0,"{'Queensland', 'Netherlands', 'Victoria', 'New South Wales', 'Lake Conjola', 'Hawaii', 'South Australia', 'Australia'}",8.0
Ethiopian Airlines Flight 302 Crash Site,Mulugeta Ayene,"11 March, 2019",Associated Press,"2020 Photo Contest, Spot News, Stories, 1st Prize","11 March, 2019
                                                    
                                Rescue workers search through debris at the crash site of Ethiopian Airlines Flight ET302, near Addis Ababa, Ethiopia, the day after the plane crashed.
                            
                                                    
                                On 10 March, Ethiopian Airlines Flight ET302, a Boeing 737 MAX, disappeared from the radar six minutes after take-off from Addis Ababa airport and crashed into a field, killing all 157 people on board. The impact was so great that both engines were buried in a crater 10 meters deep.  A week after the crash, empty coffins were buried at a ceremony at the Holy Trinity Cathedral in Addis Ababa, as victims were unable to be identified. Officials gave relatives bags of earth from the crash site. On 14 November, eight months after the crash, the site of the impact was covered and the unidentified remains of victims buried in rows of identical coffins. Comparisons were made with the crash of a Lion Air aircraft, also a 737 MAX, 12 minutes after take-off from Jakarta in October 2018. Countries across the world, initially with the exception of the US, grounded the 737 MAX. First reports showed that pilots had been unable to prevent the plane repeatedly nosediving, despite following procedures recommended by Boeing. It appeared that in both cases pilots were struggling to deal with an automated safety system designed to prevent stalling, which was repeatedly pushing the nose of the plane down. It seemed that the system was being activated, possibly due to a faulty sensor, even though nothing was wrong. It later emerged that American Airlines pilots had confronted Boeing about potential safety issues with the MAX. Boeing had resisted their calls but promised a software fix, which had not been done by the time Flight ET302 crashed. Planes remained grounded into 2020.","Shutter Speed
                                            1/1",,,"ISO
                                            500","Camera
                                            Canon EOS 5D Mark III",2020 Photo Contest, 1st Prize, Spot News, Stories,set(),"{'Ethiopian Airlines Flight ET302', 'the Holy Trinity Cathedral', 'Lion Air', 'American Airlines', 'MAX', 'Boeing'}",0.0,6.0,"{'Addis Ababa', 'Jakarta', 'US', 'Ethiopia'}",4.0
Dorian’s Devastation,Ramon Espinosa,"03 September, 2019",Associated Press,"2020 Photo Contest, Spot News, Singles, 3rd Prize","03 September, 2019
                                                    
                                Volunteers wade along a flooded road in Freeport, Grand Bahama, after Hurricane Dorian hit the island.

                            
                                                    
                                Hurricane Dorian made landfall on the islands of Abaco and Grand Bahama in the northern Bahamas on 1 September, reaching Category 5 on the Saffir-Simpson scale and breaking records as the strongest Atlantic hurricane to directly impact a land mass. Punishing winds and rising floodwaters devastated homes, crippled hospitals, and downed electricity supplies. At least 71 people were killed and 9,000 homes affected, impacting some 29,500 people. A report by the Inter-American Development Bank put damage caused by Hurricane Dorian in the Bahamas at US$3.4 billion, equal to about a quarter of the island nation’s annual economic output. Although scientists are uncertain whether the climate crisis will lead to an increase in the number of hurricanes, warmer ocean temperatures are expected to intensify wind speeds and higher sea levels could make the impact of landfall more damaging.","Shutter Speed
                                            1/200",,,"ISO
                                            250","Camera
                                            Sony ILCE-7RM2",2020 Photo Contest, 3rd Prize, Spot News, Singles,{'Grand Bahama'},{'the Inter-American Development Bank'},1.0,1.0,"{'Freeport', 'Grand Bahama', 'Abaco', 'Bahamas'}",4.0
Nairobi DusitD2 Hotel Attack,Dai Kurokawa,"15 January, 2019",European Pressphoto Agency,"2020 Photo Contest, Spot News, Singles, 2nd Prize","15 January, 2019
                                                    
                                Women are evacuated as security forces look out for perpetrators of an attack on the DusitD2 luxury hotel and business compound, in Nairobi, Kenya.




 
                            
                                                    
                                Five attackers threw bombs at vehicles in the parking area before entering the hotel lobby, where one staged a suicide bombing. At least 700 people were evacuated from the complex, with 21 killed and 28 wounded. The Somalia-based Islamist extremist group al-Shabab claimed responsibility for the attack, releasing a statement that called it a response to US president Donald Trump’s decision to recognize Jerusalem as the capital of Israel. The DusitD2 complex houses a number of international companies, and is frequented by government officials and foreign visitors, making it a target that would draw media attention. The attack and subsequent security operation lasted 20 hours, and ended with all five attackers being killed.","Shutter Speed
                                            1/2500",,,"ISO
                                            4000","Camera
                                            Canon EOS 5D Mark IV",2020 Photo Contest, 2nd Prize, Spot News, Singles,{'Donald Trump'},"{'DusitD2', 'al-Shabab'}",1.0,2.0,"{'Jerusalem', 'US', 'Kenya', 'Israel', 'Nairobi', 'Somalia'}",6.0
Clash with the Police During an Anti-Government Demonstration,Farouk Batiche,"21 May, 2019",Deutsche Presse-Agentur,"2020 Photo Contest, Spot News, Singles, 1st Prize","21 May, 2019
                                                    
                                Students scuffle with riot police during an anti-government demonstration in Algiers, Algeria.




 
                            
                                                    
                                Algeria had been embroiled in protests since February. Initially, protests had been aimed at ousting long-time president, Abdelaziz Bouteflika, an 81-year-old veteran of Algeria’s independence struggle who had been in ill-health and not seen in public for some time. Bouteflika resigned in April, handing over to a military-backed caretaker government, but demonstrations continued. Protesters demanded the cancellation of the presidential elections set to take place on 4 July and a return to civilian democracy. They also called for the departure of government officials associated with the Bouteflika administration, including the interim president and prime minister. Protests continued into 2020 without successful resolution.","Shutter Speed
                                            1/1000","Focal length
                                            24mm","F-Stop
                                            3.2","ISO
                                            200","Camera
                                            Canon EOS-1DX",2020 Photo Contest, 1st Prize, Spot News, Singles,"{'Abdelaziz Bouteflika', 'Bouteflika'}",set(),2.0,0.0,"{'Algiers', 'Algeria'}",2.0
Japan’s Veteran Rugby Players,Kim Kyung-Hoon,"03 May, 2019",Reuters,"2020 Photo Contest, Sports, Stories, 3rd Prize","03 May, 2019
                                                    
                                Ryuichi Nagayama (center) practices before a match in Kumagaya, Japan. At 86 years old, he is Fuwaku Rugby Club's oldest active player.
                            
                                                    
                                Tokyo’s Fuwaku Rugby Club, founded in 1948, is one of around 150 Japanese clubs that stage competitive, full-contact matches for players over the age of 40. Japan is the country with the largest aging population in the world, according to a United Nations report, with 28% of its population aged 65 or more. Seniors are particularly vulnerable to loneliness, with 15% of elderly men who live alone having fewer than one conversation in two weeks, according to a report in The Japan Times. Rugby not only keeps the players active, but offers a ready-made social life. The 2019 Rugby World Cup, held in Japan from September to November, boosted awareness and enthusiasm for the sport, with match attendance breaking previous World Cup records.","Shutter Speed
                                            1/1300","Focal length
                                            24mm","F-Stop
                                            4.5","ISO
                                            100","Camera
                                            Canon EOS-1D X Mark II",2020 Photo Contest, 3rd Prize, Sports, Stories,set(),"{'The Japan Times', 'United Nations', ""Fuwaku Rugby Club's"", 'Fuwaku Rugby Club'}",0.0,4.0,"{'Kumagaya', 'Japan', 'Tokyo'}",3.0
The Gouandé Gazelles,Olivier Papegnies,"24 February, 2019",,"2020 Photo Contest, Sports, Stories, 2nd Prize","24 February, 2019
                                                    
                                In the early morning, the Gazelles de Gouandé train one last time before a friendly against the Dassari team later in the day, in Gouandé, Benin.
                            
                                                    
                                The Gazelles de Gouandé from Gouandé village in northern Benin is one of 16 football teams set up across the country with the aim of giving young women more control over their futures through sport. The project, established by the Plan International organization, aims to empower women by promoting self-confidence, widening educational opportunities, and through advocacy against early marriage. Following the 2019 Women’s World Cup, there was an international surge of interest in women’s football, and projects like the one in Benin can be seen as part of a wider view of the power of sport to unify and spread social awareness. In January 2019, Benin hosted a delegation from FIFA, football’s international governing body, aimed at supporting a new sports strategy in schools, and Beninese president Patrice Talon announced plans for four new football schools, including one for women.","Shutter Speed
                                            1/500",,,"ISO
                                            200","Camera
                                            LEICA M10",2020 Photo Contest, 2nd Prize, Sports, Stories,"{'Benin', 'Patrice Talon'}","{'FIFA', 'Plan International', 'Dassari'}",2.0,3.0,"{'Gouandé', 'Benin', 'Gouandé village'}",3.0
Rise from the Ashes,Wally Skalij,"10 June, 2019",Los Angeles Times,"2020 Photo Contest, Sports, Stories, 1st Prize","10 June, 2019
                                                    
                                Paradise Bobcats players work out in the late afternoon as they prepare for their first game since the wildfire.
                            
                                                    
                                Following a wildfire that devastated their town, members of the Paradise Bobcats from the small rural community of Paradise, California, USA, returned to their football field to revive the team and embark on a new season. The November 2018 Camp Fire was the most destructive wildfire in Californian history. Paradise was almost completely burnt to the ground, and 90% of its population were dispersed to towns and cities across the US, but the fire stopped at the edge of Paradise High School’s football field, sparing it and the surrounding sports buildings. Nearly everyone on the team lost their home, but players began returning when coach Rick Prinz started practices, some commuting for up to 90 minutes to get there. They saw reviving the team as a part of rebuilding the community. The Bobcats went on to have a successful season, playing undefeated until losing the final for the championship at the end of the year.","Shutter Speed
                                            1/1600",,,"ISO
                                            100","Camera
                                            NIKON D5",2020 Photo Contest, 1st Prize, Sports, Stories,"{'Rick Prinz', 'Bobcats'}","{'the Paradise Bobcats', 'Paradise High School’s'}",2.0,2.0,"{'USA', 'Paradise', 'US', 'California'}",4.0
Liverpool Champions League Victory Parade,Oli Scarff,"02 June, 2019",Agence France-Presse,"2020 Photo Contest, Sports, Singles, 3rd Prize","02 June, 2019
                                                    
                                A trophy-shaped balloon floats over the crowd in Liverpool, England, as football fans line the streets during the open-top bus parade celebrating Liverpool’s win against Tottenham Hotspur in the UEFA Champions League final.




 
                            
                                                    
                                Some 750,000 fans turned out for the parade, according to Merseyside Police. The 2-0 win at the Metropolitano Stadium, Madrid, Spain, the day before, delivered the first trophy for Liverpool since winning the English Football League Cup in 2012, and the first win in seven finals for coach Jürgen Klopp. Liverpool last won the UEFA Champions League in 2005.","Shutter Speed
                                            1/5000",,,"ISO
                                            1/5000","Camera
                                            Nikon D4S",2020 Photo Contest, 3rd Prize, Sports, Singles,{'Jürgen Klopp'},"{'the UEFA Champions League', 'the English Football League Cup', 'Liverpool’s', 'Merseyside Police'}",1.0,4.0,"{'Liverpool', 'Madrid', 'Tottenham Hotspur', 'England', 'Spain'}",5.0
